region_id,year,ml_observations,mean_ml_suitability_score,mean_prediction_confidence,not_suitable_percentage,moderate_percentage,suitable_percentage,MEHI_score,health_category
R_-35_45,2023,123,91.0569105691057,0.9864327839115543,0.0,17.88617886178862,82.11382113821138,87.53284415466555,Higher relative environmental condition
R_-35_50,2023,246,90.2439024390244,0.9911608001889636,0.8130081300813009,17.88617886178862,81.30081300813008,87.51518694587489,Higher relative environmental condition
R_-35_55,2020,338,85.6508875739645,0.9951752134542678,0.0,28.698224852071007,71.30177514792899,87.14014631677232,Higher relative environmental condition
R_-35_55,2023,188,90.69148936170212,0.9894514029828685,0.0,18.617021276595743,81.38297872340425,88.02044052026172,Higher relative environmental condition
R_-35_90,2024,7,71.42857142857143,0.9837037494840288,0.0,57.14285714285714,42.857142857142854,89.48045190694083,Higher relative environmental condition
R_-35_95,2024,18,97.22222222222223,0.986445744558919,0.0,5.555555555555555,94.44444444444444,89.19251871025031,Higher relative environmental condition
R_-40_-150,2022,50,89.0,0.993135678947031,0.0,22.0,78.0,88.61878703043591,Higher relative environmental condition
R_-40_0,2020,80,85.0,0.9572885346620532,0.0,30.0,70.0,90.49971968976163,Higher relative environmental condition
R_-40_110,2024,112,91.51785714285714,0.9953573775810642,0.0,16.964285714285715,83.03571428571429,89.48241842867978,Higher relative environmental condition
R_-40_115,2024,165,89.0909090909091,0.992338818466212,0.0,21.818181818181817,78.18181818181819,89.45091321062411,Higher relative environmental condition
R_-40_55,2020,293,84.47098976109216,0.9937817487539465,0.3412969283276451,30.37542662116041,69.28327645051195,85.20807889037788,Higher relative environmental condition
R_-40_90,2024,31,90.3225806451613,0.990206284913574,0.0,19.35483870967742,80.64516129032258,89.91537425762341,Higher relative environmental condition
R_-40_95,2024,51,92.15686274509804,0.9939609632848647,0.0,15.686274509803921,84.31372549019608,89.72248547118785,Higher relative environmental condition
R_-45_-150,2022,60,77.5,0.9870368385831056,0.0,45.0,55.00000000000001,87.74678081020569,Higher relative environmental condition
R_-45_-55,2022,3,83.33333333333333,0.8691528894711809,0.0,33.33333333333333,66.66666666666666,85.0911157548363,Higher relative environmental condition
R_-45_0,2020,26,88.46153846153847,0.9917379076030637,0.0,23.076923076923077,76.92307692307693,88.90652549673807,Higher relative environmental condition
R_-45_110,2024,77,85.06493506493507,0.9877860183026153,0.0,29.87012987012987,70.12987012987013,89.2009757427506,Higher relative environmental condition
